日期,七彩虹RTX3090 AD OC,七彩虹RTX3080Ti AD OC,七彩虹RTX3080 AD OC,七彩虹RTX3070Ti AD OC,七彩虹RTX3070 战斧 LHR,七彩虹RTX3060Ti AD OC,七彩虹RTX3060 AD OC,七彩虹RTX3050 Ultra W DUO OC,七彩虹RTX2060 ,七彩虹RTX2060 SUPER
2022/1/1,17199,11399,8549,6849,8999,5899,4399,2899,3599,4599
2022/1/11,16999,11699,8699,7099,8999,5699,4499,2899,3899,4899
2022/1/21,16899,11099,8699,6899,8999,5699,4599,2899,3899,4899
2022/1/31,16999,10899,8799,6699,8999,5699,4599,2999,3899,4899
2022/2/10,16999,10799,8799,6699,8999,5699,4599,2899,3899,4899
2022/2/20,16699,10799,8899,6999,8999,5499,4299,2999,3039,4899
2022/3/2,16999,10399,8299,6999,8999,5399,4499,3099,3069,4399
2022/3/12,16499,10599,8199,6099,8999,4979,4599,3099,2799,4399
2022/3/22,15699,9099,8169,6099,8999,4799,3769,2769,2999,4459
2022/4/1,14599,9599,8149,5499,8999,4899,3789,3099,2669,4489
2022/4/11,14599,9299,8149,5499,8999,4899,3799,3099,2799,3899
2022/4/21,14599,9299,6999,5269,5299,4599,3699,3099,2699,3699
2022/5/1,14599,9299,6999,5299,5299,4599,3649,3099,2669,3699
2022/5/11,17999,8599,6999,5799,5299,4599,3649,2899,2999,3699
2022/5/21,14599,8169,6079,5329,4379,4229,3346,2899,2459,3699
2022/5/31,14599,8299,5998,5349,4099,3799,2848,2899,2299,2999
2022/6/10,14599,8999,6698,5099,3948,3799,2998,2899,2399,2799
2022/6/20,14599,8999,6349,5449,4499,3998,3348,2899,2249,2799
2022/6/30,14599,8999,5799,5098,4399,3798,3098,2899,2248,2799
2022/7/10,10499,7599,5899,5099,4099,3899,3099,2899,2249,2799
2022/7/20,10499,7598,5898,5098,4048,3798,2997,2899,2198,2799
2022/7/30,10499,7699,5799,4997,3899,3897,2999,2899,2249,2799
2022/8/9,10499,7699,5799,4899,3969,3799,2899,2899,2099,2799
2022/8/19,10499,7699,5699,4999,3969,3799,2799,2899,1999,2799
2022/8/29,10499,7699,5799,4999,4269,3799,2899,2899,2099,2799
2022/9/8,10499,7699,5599,4599,4269,3649,2799,2899,1999,2799
2022/9/18,10499,7699,5599,4599,4269,3799,2849,2899,2099,2699
2022/9/28,10499,7699,5399,4799,4269,3799,2749,1999,2149,2599
2022/10/8,10499,7699,5599,4599,4269,3599,2849,1999,2299,2549
2022/10/18,10499,7699,5599,4599,4269,3799,2849,2199,2299,2549
2022/10/28,10499,7699,5599,4599,4269,3799,2849,1999,2099,2549
2022/11/7,10499,7699,5999,4799,4099,3799,3049,2199,1949,2749
